"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.982004167E0,6.440955963E0,2.108215942E0,7.453151093E0,1.007372570E1
1.992029167E0,7.916886749E0,1.929038544E0,8.938512268E0,1.209525887E1
2.002053167E0,8.903335419E0,2.392474823E0,9.573491821E0,1.329078865E1
2.012078167E0,8.915310516E0,2.911744995E0,1.005519012E1,1.375019523E1
2.022102167E0,8.301736450E0,2.847977600E0,1.064571213E1,1.379713707E1
2.032127167E0,7.679630127E0,2.267335052E0,1.117276611E1,1.374584409E1
2.042151167E0,7.115902405E0,1.379531250E0,1.179337555E1,1.384279164E1
2.052176167E0,6.514153748E0,7.325765991E-1,1.223735229E1,1.388249469E1
2.062200167E0,6.009403381E0,4.993615723E-1,1.227537323E1,1.367651560E1
2.072225167E0,5.821843414E0,3.854484558E-1,1.259944931E1,1.388483180E1
2.082249167E0,6.079457703E0,3.571572876E-1,1.291454407E1,1.427840382E1
2.092274167E0,6.372548218E0,6.349795532E-1,1.261651382E1,1.414881588E1
2.102299167E0,6.504573669E0,7.078779602E-1,1.231099915E1,1.394170972E1
2.112323167E0,6.662794647E0,7.201524353E-1,1.180729660E1,1.357658665E1
2.122348167E0,6.793622589E0,8.225395203E-1,1.114567245E1,1.307883380E1
2.132372167E0,6.941814423E0,8.258326721E-1,1.054332504E1,1.265039486E1
2.142397167E0,7.034471741E0,9.470805359E-1,1.004665787E1,1.230106046E1
2.152421167E0,7.115453339E0,1.099912720E0,9.850865021E0,1.220159932E1
2.162446167E0,7.246430969E0,1.171164551E0,9.841883698E0,1.227782810E1
2.172470167E0,7.403604126E0,1.141975250E0,9.626182251E0,1.219757543E1
2.182495167E0,7.436535645E0,1.104553070E0,9.224717102E0,1.190031535E1
2.192519167E0,7.340585175E0,1.015787659E0,8.816366272E0,1.151713200E1
2.202544167E0,7.253017273E0,9.304650879E-1,8.356223145E0,1.110398532E1
2.212568167E0,7.131769409E0,9.403445435E-1,7.876021729E0,1.066668182E1
2.222593167E0,6.895560608E0,1.051413574E0,7.541168060E0,1.027246038E1
2.232617167E0,6.541097717E0,1.197958832E0,6.982380066E0,9.642338725E0
2.242642167E0,6.393205261E0,1.278042297E0,6.498137054E0,9.205012265E0
2.252666167E0,6.487658844E0,1.425785065E0,6.448440399E0,9.257697549E0
2.262691167E0,6.456224213E0,1.777403870E0,6.311026154E0,9.201687167E0
2.272715167E0,6.378984833E0,2.053130493E0,5.922284546E0,8.943167591E0
2.282740167E0,6.441554718E0,2.161654816E0,5.836662598E0,8.957288039E0
2.292764167E0,6.511758728E0,2.337988129E0,6.052663422E0,9.192601629E0
2.302789167E0,6.404282227E0,2.460882568E0,5.943989410E0,9.077542837E0
2.312813167E0,6.327042847E0,2.491568756E0,5.792354736E0,8.932567349E0
2.322838167E0,6.447691956E0,2.494861908E0,5.799240417E0,9.023760686E0
2.332862167E0,6.622079315E0,2.612966309E0,5.746549988E0,9.148899614E0
2.342887167E0,6.692433014E0,2.726580048E0,5.636079712E0,9.164512694E0
2.352911167E0,6.564898224E0,2.802322540E0,5.410798187E0,8.956988184E0
2.362936167E0,6.490951996E0,2.822680206E0,5.269941101E0,8.824526082E0
2.372960167E0,6.334676971E0,2.971021729E0,5.046455841E0,8.626808158E0
2.382985167E0,6.148464203E0,3.121907959E0,4.836442566E0,8.422653860E0
2.393009167E0,5.985303497E0,3.058439941E0,4.736001434E0,8.222385446E0
2.403034167E0,5.890999603E0,2.949616241E0,4.784350891E0,8.142120470E0
2.413058167E0,5.963898010E0,2.902763672E0,4.877606964E0,8.233174728E0
2.423083167E0,5.909411316E0,3.050656128E0,4.832999725E0,8.221041981E0
2.433107167E0,5.735323334E0,3.320544891E0,4.791386261E0,8.177856346E0
2.443132167E0,5.681734772E0,3.594924316E0,5.062771912E0,8.416486814E0
2.453157167E0,5.615871735E0,3.890559540E0,5.293891296E0,8.642901939E0
2.463181167E0,5.429958344E0,3.971690826E0,5.410648499E0,8.633301385E0
2.473206167E0,5.180427246E0,3.943549347E0,5.626948700E0,8.605286722E0
2.483230167E0,5.082979889E0,3.968846741E0,5.969137115E0,8.787435741E0
2.493255167E0,5.135520630E0,3.944746857E0,6.397695923E0,9.103027684E0
2.503279167E0,5.212610321E0,3.808380432E0,6.888525238E0,9.440701660E0
2.513304167E0,5.163811798E0,3.573818207E0,7.477999420E0,9.765121822E0
2.523328167E0,4.971162415E0,3.480861511E0,8.012537842E0,1.005134893E1
2.533353167E0,4.694986725E0,3.612587585E0,8.425379333E0,1.029954884E1
2.543377167E0,4.444707184E0,3.711831207E0,8.797355804E0,1.053216891E1
2.553402167E0,4.251758423E0,3.476670227E0,8.999285889E0,1.054285692E1
2.563426167E0,4.173620911E0,3.137325897E0,9.326954498E0,1.068896653E1
2.573451167E0,4.165986786E0,3.130440216E0,9.717791748E0,1.102681179E1
2.583475167E0,4.161496124E0,3.159180450E0,9.923164673E0,1.121461851E1
2.593500167E0,4.151616669E0,2.891387329E0,1.004905289E1,1.125075578E1
2.603523833E0,4.088448029E0,2.626737671E0,9.845476227E0,1.097946083E1
2.613548833E0,3.971840515E0,2.596650238E0,9.408085785E0,1.053708630E1
2.623572833E0,3.983216858E0,2.651136932E0,9.389075317E0,1.053799217E1
2.633597833E0,4.016447754E0,2.685565338E0,9.461973724E0,1.062417340E1
2.643621833E0,3.868255920E0,2.764600983E0,9.076824646E0,1.024671499E1
2.653646833E0,3.687431946E0,2.937042389E0,8.765322418E0,9.952600135E0
2.663670833E0,3.558400269E0,3.280578003E0,8.986562347E0,1.020699306E1
2.673695833E0,3.456462250E0,3.518882446E0,9.513616333E0,1.071627550E1
2.683719833E0,3.415447540E0,3.452270966E0,9.808203735E0,1.094460220E1
2.693744833E0,3.384012909E0,3.172652435E0,1.007734406E1,1.109369776E1
2.703768833E0,3.358416138E0,2.891836395E0,1.038794815E1,1.129385423E1
2.713793833E0,3.288810883E0,2.685565338E0,1.038705002E1,1.122137898E1
2.723817833E0,3.141816559E0,2.555036774E0,9.960586853E0,1.075232601E1
2.733842833E0,2.939138031E0,2.528841248E0,9.379046173E0,1.014889539E1
2.743866833E0,2.719993744E0,2.649490356E0,8.781339111E0,9.567135501E0
2.753891833E0,2.611319733E0,2.683170319E0,8.347092133E0,9.148351806E0
2.763915833E0,2.578986969E0,2.607876892E0,8.378676453E0,9.146278739E0
2.773940833E0,2.538121948E0,2.659669189E0,8.690627747E0,9.436255288E0
2.783965833E0,2.351160736E0,2.749332733E0,8.942553864E0,9.646556737E0
2.793989833E0,2.132914581E0,2.813848572E0,8.981173553E0,9.650313300E0
2.804014833E0,1.961520996E0,2.878364410E0,8.739276581E0,9.407842550E0
2.814038833E0,1.827250214E0,2.918181610E0,8.752598877E0,9.405456627E0
2.824063833E0,1.637594604E0,2.974314880E0,8.767268372E0,9.401768972E0
2.834087833E0,1.574425964E0,3.163371735E0,8.785380707E0,9.469353305E0
2.844112833E0,1.578317871E0,3.165018311E0,8.556506653E0,9.258630261E0
2.854136833E0,1.432521057E0,2.973416748E0,8.265212402E0,8.899834818E0
2.864161833E0,1.176553345E0,3.011437683E0,7.911497955E0,8.546627088E0
2.874185833E0,1.127754822E0,3.285817108E0,7.753276978E0,8.495983104E0
2.884210833E0,1.030157776E0,3.464395752E0,7.712711334E0,8.517580589E0
2.894234833E0,8.448431396E-1,3.379372559E0,7.533533936E0,8.299882673E0
2.904259833E0,9.075627136E-1,3.286565552E0,7.301217041E0,8.058098627E0
2.914283833E0,7.194039917E-1,3.379671936E0,7.182064819E0,7.970055180E0
2.924308833E0,4.713697815E-1,3.509002991E0,7.088808746E0,7.923793340E0
2.934332833E0,3.270698547E-1,3.626957703E0,6.970105591E0,7.864106358E0
2.944357833E0,2.978805542E-1,3.799698486E0,6.903344421E0,7.885594817E0
2.954381833E0,2.612068176E-1,3.995042267E0,6.833140411E0,7.919621178E0
2.964406833E0,2.173480225E-1,4.223616943E0,6.544390869E0,7.791997953E0
2.974430833E0,2.603086853E-1,4.516108704E0,6.370602264E0,7.813294545E0
2.984455833E0,2.850073242E-1,4.757556610E0,6.714287567E0,8.233907433E0
2.994479833E0,4.086502075E-1,4.875661011E0,7.284152527E0,8.774847196E0
3.004504833E0,4.324507141E-1,4.959935760E0,7.910150757E0,9.346574847E0
3.014528833E0,5.170248413E-1,4.930447083E0,8.573720856E0,9.903802928E0
3.024553833E0,6.797364807E-1,4.936135254E0,8.897048492E0,1.019730086E1
3.034577833E0,5.975573730E-1,5.152435455E0,8.822952576E0,1.023470362E1
3.044602833E0,4.505630493E-1,5.195246429E0,8.373886414E0,9.864865239E0
3.054626833E0,5.881269836E-1,4.892725525E0,6.623725891E0,8.255810141E0
3.064651833E0,1.989363098E-1,5.551505585E0,7.835605774E0,9.604973074E0
3.074675833E0,-2.974314880E-1,6.023623810E0,9.035660248E0,1.086350153E1
3.084700833E0,2.439926147E-2,5.844296722E0,8.803193665E0,1.056658025E1
3.094725833E0,7.500901794E-1,5.368436279E0,8.986113281E0,1.049442591E1
3.104749833E0,1.282233582E0,4.778962097E0,9.223369904E0,1.046676426E1
3.114774833E0,1.481020203E0,4.368964691E0,9.169032898E0,1.026413355E1
3.124798833E0,1.369651794E0,4.372108154E0,9.122030640E0,1.020797329E1
3.134823833E0,9.732760620E-1,4.482129364E0,9.290580139E0,1.036106313E1
3.144847833E0,5.066963196E-1,4.345014496E0,9.370813293E0,1.034156825E1
3.154872833E0,-2.249821472E-1,4.255201263E0,9.268426208E0,1.020103324E1
3.164896833E0,-7.679031372E-1,4.531077576E0,9.256750488E0,1.033478441E1
3.174921833E0,-1.038839722E0,4.940925293E0,9.352401581E0,1.062823344E1
3.184945833E0,-1.076411591E0,5.175337830E0,9.481433258E0,1.085542999E1
3.194970833E0,-8.469387817E-1,5.113067322E0,9.848470001E0,1.112893185E1
3.204994833E0,-5.716612244E-1,4.910239105E0,1.004501129E1,1.119551234E1
3.215019833E0,-1.034349060E-1,4.632267151E0,9.895472260E0,1.092652593E1
3.225043833E0,3.215313721E-1,4.337979126E0,9.593999176E0,1.053405266E1
3.235068833E0,5.370831299E-1,4.097728729E0,9.365125122E0,1.023647437E1
3.245092833E0,5.399272156E-1,4.082161102E0,9.357790375E0,1.022368825E1
3.255117833E0,3.947291565E-1,4.035308533E0,9.443112946E0,1.027676545E1
3.265141833E0,2.924917603E-1,3.878883820E0,9.237590332E0,1.002319142E1
3.275166833E0,2.746788025E-1,3.941753082E0,9.155710602E0,9.971955798E0
3.285190833E0,1.468446350E-1,4.280798035E0,9.195228424E0,1.014391546E1
3.295215833E0,1.152603149E-1,4.555776215E0,8.919651489E0,1.001641476E1
3.305239833E0,2.561174011E-1,4.607718201E0,8.445737000E0,9.624299279E0
3.315264833E0,2.827619934E-1,4.516857147E0,8.099057922E0,9.277752533E0
3.325288833E0,2.047741699E-1,4.358037415E0,7.833510132E0,8.966510110E0
3.335313833E0,2.158511353E-1,4.270319824E0,7.929610291E0,9.008936811E0
3.345337833E0,2.378553772E-1,4.253105621E0,8.044720917E0,9.102912569E0
3.355362833E0,2.365081787E-1,4.188889160E0,7.885601807E0,8.932269833E0
