"time","x","y","z","abs"
4.836997099E0,1.668681651E-1,-1.723404694E1,4.795935631E0,1.788969584E1
4.841987204E0,4.364418387E-1,-1.740374374E1,4.723871231E0,1.803872881E1
4.846977308E0,9.906432629E-1,-1.757089233E1,5.101004601E0,1.832315146E1
4.851967412E0,1.566790581E0,-1.788933182E1,5.334023952E0,1.873325485E1
4.856957516E0,2.243035793E0,-1.834513855E1,5.237736225E0,1.920961214E1
4.861947620E0,2.753471613E0,-1.865361023E1,4.315391541E0,1.934325166E1
4.866937724E0,2.830083847E0,-1.854668045E1,2.545996189E0,1.893332583E1
4.871927829E0,2.124442577E0,-1.788767242E1,-1.101374626E-2,1.801338953E1
4.876917933E0,3.092373013E-1,-1.665230942E1,-2.902608395E0,1.690621697E1
4.881908037E0,-1.804053545E0,-1.490509415E1,-5.515736103E0,1.599499251E1
4.886898141E0,-3.666812181E0,-1.288803577E1,-7.234148502E0,1.522760264E1
4.891888297E0,-5.158936977E0,-1.080768490E1,-7.891769409E0,1.434226997E1
4.896878454E0,-5.838110924E0,-8.725102425E0,-7.498188019E0,1.290092148E1
4.901868610E0,-6.131361008E0,-6.601076126E0,-5.852149963E0,1.074315843E1
4.906858766E0,-6.046385288E0,-4.446870804E0,-3.611826897E0,8.329389445E0
4.911848922E0,-5.493528366E0,-2.223091125E0,-1.474134088E0,6.106886225E0
4.916839079E0,-4.690121651E0,-4.757499695E-2,1.451079845E-1,4.692607037E0
4.921829235E0,-3.607437611E0,2.034531593E0,1.281588316E0,4.335365444E0
4.926819391E0,-2.515964270E0,3.952404976E0,2.245549679E0,5.195582225E0
4.931809547E0,-1.410152674E0,5.719264507E0,3.726054668E0,6.970078942E0
4.936799704E0,-3.369088173E-1,7.224042892E0,5.771045685E0,9.252311687E0
4.941789860E0,8.602597713E-1,8.616660118E0,7.890145302E0,1.171500198E1
4.946780016E0,2.191256046E0,9.743130684E0,9.653241158E0,1.388939392E1
4.951770172E0,3.090054512E0,1.107868099E1,1.070905781E1,1.571526419E1
4.956760329E0,3.925080776E0,1.254980087E1,1.070880413E1,1.695825011E1
4.961750485E0,4.476378441E0,1.408512211E1,9.372061729E0,1.750040485E1
4.966740641E0,4.814019203E0,1.565849590E1,7.152691364E0,1.787524178E1
4.971730797E0,5.201838493E0,1.739424324E1,4.671265125E0,1.874672077E1
4.976720954E0,5.802315712E0,1.919874763E1,1.829131842E0,2.013962516E1
4.981711110E0,6.275376320E0,2.120085526E1,-1.243548751E0,2.214504516E1
4.986701266E0,6.717700005E0,2.356487465E1,-4.004852772E0,2.482880699E1
4.991691422E0,7.004294395E0,2.528001213E1,-6.132852077E0,2.693976666E1
4.996681579E0,7.143887520E0,2.624072456E1,-7.145855904E0,2.811892621E1
5.001671735E0,6.984230995E0,2.651121521E1,-7.514802933E0,2.842703427E1
5.006661891E0,6.790726662E0,2.606217575E1,-7.157391071E0,2.786717102E1
5.011652047E0,7.025862694E0,2.474989510E1,-5.976883888E0,2.641293613E1
5.016642204E0,7.622854233E0,2.271129990E1,-4.422356129E0,2.436120447E1
5.021632360E0,8.207105637E0,2.000930786E1,-3.429374456E0,2.189725081E1
5.026622516E0,8.955351830E0,1.725022125E1,-2.772200584E0,1.963297114E1
5.031612672E0,9.791358948E0,1.472165298E1,-2.145664692E0,1.781015591E1
5.036602829E0,1.079528809E1,1.245995331E1,-1.542997122E0,1.655806515E1
5.041592985E0,1.202713490E1,1.045374298E1,-1.002730370E0,1.596678378E1
5.046583141E0,1.312480927E1,8.632047653E0,-4.575721622E-1,1.571566853E1
5.051573297E0,1.403072834E1,7.002901077E0,-1.915636659E-2,1.568127317E1
5.056563454E0,1.427470016E1,5.444869041E0,1.441480368E-1,1.527856153E1
5.061553610E0,1.390311050E1,3.994205475E0,1.276869774E-1,1.446604518E1
5.066543766E0,1.253390408E1,2.593303680E0,1.501007378E-2,1.279938282E1
5.071533922E0,1.016862488E1,1.473548889E0,5.217480659E-2,1.027496961E1
5.076524079E0,7.042990685E0,7.962713242E-1,2.210228890E-1,7.091305728E0
5.081514235E0,3.861793518E0,6.723394394E-1,6.913495064E-1,3.980383604E0
5.086504391E0,9.933181405E-1,8.992509842E-1,1.374838352E0,1.919769193E0
5.091494547E0,-1.112696290E0,1.523940086E0,2.033749819E0,2.774279140E0
5.096484704E0,-2.531025410E0,2.431032181E0,2.530757904E0,4.326747353E0
5.101474860E0,-3.294637680E0,3.543812275E0,2.891735315E0,5.636965142E0
5.106465016E0,-3.669725895E0,4.821745396E0,2.956877470E0,6.742346860E0
5.111455172E0,-3.836319447E0,6.135870934E0,2.768747807E0,7.748046426E0
5.116445329E0,-3.899976730E0,7.517665863E0,2.354297876E0,8.790212569E0
5.121435485E0,-3.979627371E0,8.871615410E0,1.803426027E0,9.889152614E0
5.126425641E0,-4.021314144E0,1.017641163E1,1.129895568E0,1.100031750E1
5.131415797E0,-4.018096924E0,1.139387035E1,6.128611565E-1,1.209714774E1
5.136405902E0,-4.114965439E0,1.244258976E1,1.931001693E-1,1.310680236E1
5.141396006E0,-4.270700932E0,1.328163815E1,-9.113423526E-2,1.395167028E1
5.146386110E0,-4.266563416E0,1.400882435E1,-2.905876338E-1,1.464701895E1
5.151376214E0,-3.985379219E0,1.465977097E1,-3.599448800E-1,1.519610781E1
5.156366318E0,-3.254139423E0,1.520089722E1,-3.736246526E-1,1.554980048E1
5.161356422E0,-2.112228394E0,1.555584145E1,-2.912321389E-1,1.570129065E1
5.166346527E0,-7.100640535E-1,1.560302734E1,-1.514870524E-1,1.561991042E1
5.171336631E0,7.461662292E-1,1.533124542E1,-5.987754464E-2,1.534950929E1
5.176326735E0,2.038708210E0,1.472690201E1,-1.095882356E-1,1.486774978E1
5.181316839E0,3.062666655E0,1.389606094E1,-2.089485526E-1,1.423109610E1
5.186306943E0,3.831121683E0,1.296849728E1,-3.667380214E-1,1.352752423E1
5.191297047E0,4.338398933E0,1.196372604E1,-6.034739614E-1,1.274035427E1
5.196287152E0,4.601136684E0,1.087959099E1,-8.534303308E-1,1.184332311E1
5.201277256E0,4.641016960E0,9.764123917E0,-1.089455843E0,1.086572907E1
5.206267360E0,4.583073139E0,8.679574966E0,-1.394350648E0,9.913818373E0
5.211257464E0,4.460874081E0,7.654676914E0,-1.714729309E0,9.024066313E0
5.216247568E0,4.279430866E0,6.703736305E0,-1.999624729E0,8.200738262E0
5.221237672E0,4.067519188E0,5.876920223E0,-2.244068861E0,7.491244804E0
5.226227777E0,3.738993645E0,5.207588673E0,-2.402333021E0,6.846185595E0
5.231217881E0,3.332299232E0,4.729005814E0,-2.441178560E0,6.279097620E0
5.236207985E0,2.807093143E0,4.436061382E0,-2.372952938E0,5.761017111E0
5.241198089E0,2.109089136E0,4.335530281E0,-2.152910948E0,5.280161489E0
5.246188193E0,1.253996134E0,4.443684578E0,-1.939581394E0,5.008074971E0
5.251178297E0,4.057216048E-1,4.721773624E0,-1.738256097E0,5.047899607E0
5.256168402E0,-3.461416960E-1,5.090431213E0,-1.568657160E0,5.337882473E0
5.261158506E0,-9.458035231E-1,5.506330967E0,-1.440693140E0,5.769733247E0
5.266148610E0,-1.414300084E0,5.950174332E0,-1.263664365E0,6.245131458E0
5.271138714E0,-1.763105512E0,6.352478981E0,-1.123691082E0,6.687691074E0
5.276128818E0,-1.944007277E0,6.730005264E0,-9.465145469E-1,7.068806472E0
5.281118922E0,-2.011860847E0,7.087551117E0,-7.559696436E-1,7.406244325E0
5.286109027E0,-1.913944364E0,7.405984879E0,-5.929095745E-1,7.672244575E0
5.291099131E0,-1.650295615E0,7.716438293E0,-3.595377803E-1,7.899124190E0
5.296089235E0,-1.323985219E0,8.090677261E0,-1.260067821E-1,8.199260523E0
5.301079339E0,-9.327030182E-1,8.432906151E0,1.213281155E-1,8.485196614E0
5.306069443E0,-4.120937586E-1,8.769470215E0,3.909975290E-1,8.787850032E0
5.311059547E0,1.940119267E-1,9.246365547E0,4.860769510E-1,9.261165546E0
5.316049652E0,9.085209966E-1,9.820444107E0,5.258268118E-1,9.876387330E0
5.321039756E0,1.593659639E0,1.034337616E1,5.745697021E-1,1.048118847E1
5.326029860E0,2.253077984E0,1.075552559E1,7.132542133E-1,1.101210346E1
5.331019964E0,2.854502201E0,1.111456108E1,7.979971766E-1,1.150297572E1
5.336010068E0,3.406342983E0,1.152114105E1,8.288732767E-1,1.204271126E1
5.341000172E0,3.754405975E0,1.176956940E1,7.827975750E-1,1.237865502E1
5.345990277E0,3.955400705E0,1.196302795E1,6.443929672E-1,1.261643669E1
5.350980381E0,3.982554436E0,1.201552963E1,4.871976078E-1,1.266771699E1
5.355970485E0,3.862135410E0,1.199427223E1,4.278330505E-1,1.260800133E1
5.360960589E0,3.675727844E0,1.196873760E1,5.423880816E-1,1.253219214E1
5.365950693E0,3.273117542E0,1.190539551E1,1.000003934E0,1.238756427E1
5.370940797E0,2.588662148E0,1.189268970E1,1.875709176E0,1.231484978E1
