"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.539208042E0,9.999954987E0,-3.588188324E0,2.637664948E0,1.094675621E1
1.549233042E0,9.683812408E0,-3.466491394E0,2.635569305E0,1.061786282E1
1.559257042E0,9.424102478E0,-3.356170807E0,2.652035065E0,1.034943863E1
1.569281042E0,9.266480255E0,-3.282523956E0,2.550396423E0,1.015613813E1
1.579305042E0,9.214837646E0,-3.245550842E0,2.398911438E0,1.005990105E1
1.589329042E0,9.143436127E0,-3.188220062E0,2.270179138E0,9.945897882E0
1.599353042E0,9.088650055E0,-3.089575195E0,2.193837891E0,9.846926393E0
1.609377042E0,9.123677216E0,-3.090323639E0,2.047292633E0,9.847994377E0
1.619401042E0,9.163344727E0,-2.984942780E0,2.019001465E0,9.846478400E0
1.629426042E0,9.265282745E0,-2.897973633E0,2.121238861E0,9.936969852E0
1.639450042E0,9.395062866E0,-3.016527100E0,2.107467499E0,1.008999808E1
1.649474042E0,9.450896759E0,-3.071762238E0,2.103276215E0,1.015770366E1
1.659498042E0,9.539512482E0,-3.068918152E0,2.071841583E0,1.023294115E1
1.669522042E0,9.615704041E0,-3.125201111E0,1.979783020E0,1.030282422E1
1.679546042E0,9.543703766E0,-3.130889282E0,1.944755859E0,1.023068056E1
1.689570042E0,9.484127655E0,-3.087778931E0,1.974693604E0,1.016771710E1
1.699594042E0,9.460776215E0,-2.989583130E0,1.982477417E0,1.011800922E1
1.709619042E0,9.461075592E0,-2.959346008E0,1.917063446E0,1.009677238E1
1.719643042E0,9.510622559E0,-2.987786865E0,1.881587219E0,1.014490918E1
1.729667042E0,9.596394196E0,-3.043920135E0,1.757046204E0,1.021975747E1
1.739691042E0,9.743687897E0,-3.098556519E0,1.568737793E0,1.034415026E1
1.749715042E0,9.762698364E0,-3.030148773E0,1.431622925E0,1.032190027E1
1.759739042E0,9.765692139E0,-2.868484955E0,1.351838837E0,1.026763932E1
1.769763042E0,9.759554901E0,-2.635419617E0,1.243314514E0,1.018529231E1
1.779788042E0,9.771080933E0,-2.557431793E0,1.151705017E0,1.016567285E1
1.789812042E0,9.634415131E0,-2.520907745E0,1.010548553E0,1.000990205E1
1.799836042E0,9.429790649E0,-2.479294281E0,8.574169922E-1,9.787901497E0
1.809860042E0,9.278455353E0,-2.492766266E0,8.102650452E-1,9.641584249E0
1.819884042E0,9.134903870E0,-2.610271912E0,8.086184692E-1,9.534875562E0
1.829908042E0,9.062753906E0,-2.793640594E0,8.360115051E-1,9.520338827E0
1.839932042E0,9.251511383E0,-3.065175934E0,9.828561401E-1,9.795497566E0
1.849957042E0,9.622739410E0,-3.477418671E0,1.193019104E0,1.030110911E1
1.859981042E0,9.931696930E0,-3.790118408E0,1.210981750E0,1.069906904E1
1.870005042E0,1.018826340E1,-3.999083862E0,1.212478638E0,1.101197018E1
1.880029042E0,1.055125854E1,-4.260290680E0,1.222358093E0,1.144435638E1
1.890053042E0,1.080198715E1,-4.472698975E0,1.276545410E0,1.176084736E1
1.900077042E0,1.093685669E1,-4.599934387E0,1.345252533E0,1.194085152E1
